url,coverage_state,indexing_state,last_crawl,verdict,Clicks,Impressions,CTR,Position
https://www.smackcoders.com/wp-ultimate-exporter.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-26T16:28:24Z,PASS,5.0,98.0,0.0510204081632653,13.908163265306122
https://www.smackcoders.com/ja/documentation/wp-ultimate-csv-importer/iteration-based-import,Submitted and indexed,INDEXING_ALLOWED,2025-12-25T13:21:10Z,PASS,0.0,1.0,0.0,12.0
https://www.smackcoders.com/blog/how-to-import-page-to-wordpress.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-26T02:05:42Z,PASS,2.0,636.0,0.0031446540880503,17.44496855345912
https://www.smackcoders.com/blog/how-to-import-page-to-wordpress.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-26T02:05:42Z,PASS,0.0,66.0,0.0,8.106060606060606
https://www.smackcoders.com/blog/how-to-import-page-to-wordpress.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-26T02:05:42Z,PASS,0.0,66.0,0.0,8.106060606060606
https://www.smackcoders.com/blog/how-to-import-page-to-wordpress.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-26T02:05:42Z,PASS,0.0,66.0,0.0,8.106060606060606
https://www.smackcoders.com/blog/how-to-install-ioncube-loaders-simple-steps-for-various-hosting-types.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-25T17:12:55Z,PASS,3.0,993.0,0.0030211480362537,16.561933534743204
https://www.smackcoders.com/blog/how-to-install-wamp-and-xampp.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-28T13:10:46Z,PASS,2.0,986.0,0.0020283975659229,10.982758620689657
https://www.smackcoders.com/blog/how-to-prepare-woocommerce-for-high-traffic.html,Submitted and indexed,INDEXING_ALLOWED,2025-12-30T19:01:26Z,PASS,0.0,60.0,0.0,18.616666666666667
https://www.smackcoders.com/blog/how-to-restore-wordpress-site-from-backup.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-21T07:05:44Z,PASS,0.0,1017.0,0.0,35.26253687315634
https://www.smackcoders.com/blog/how-to-restore-wordpress-site-from-backup.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-21T07:05:44Z,PASS,0.0,5.0,0.0,8.6
https://www.smackcoders.com/blog/how-to-restore-wordpress-site-from-backup.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-21T07:05:44Z,PASS,0.0,5.0,0.0,8.6
https://www.smackcoders.com/blog/how-to-restore-wordpress-site-from-backup.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-21T07:05:44Z,PASS,0.0,6.0,0.0,8.833333333333332
https://www.smackcoders.com/blog/how-to-restore-wordpress-site-from-backup.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-21T07:05:44Z,PASS,0.0,3.0,0.0,9.666666666666666
https://www.smackcoders.com/blog/how-to-restore-wordpress-site-from-backup.html,Submitted and indexed,INDEXING_ALLOWED,2026-01-21T07:05:44Z,PASS,0.0,2.0,0.0,9.5
