top pages,clicks,impressions,ctr,position,errors
https://www.smackcoders.com/blog/wordpress-seo-plugins.html,0,4957,0.0,72.6681460560823,High impressions but no clicks
https://www.smackcoders.com/blog/add-external-urls-to-featured-images-wordpress.html,10,2896,0.0034530386740331,12.973756906077348,
https://www.smackcoders.com/blog/export-import-advanced-custom-fields-csv-wordpress.html,4,1593,0.002510985561833,12.67294413057125,
https://www.smackcoders.com/blog/wordpress-ultimate-csv-importer-csv-sample-files-and-updates.html,7,1484,0.0047169811320754,15.723045822102426,
https://www.smackcoders.com/blog/create-custom-taxonomies-with-acf.html,5,1398,0.0035765379113018,15.894849785407724,
https://www.smackcoders.com/blog/how-to-install-wamp-and-xampp.html,6,1242,0.0048309178743961,11.412238325281804,
https://www.smackcoders.com/wp-ultimate-csv-importer-pro.html,39,1211,0.0322047894302229,11.410404624277456,
https://www.smackcoders.com/blog/enable-configure-wp-cron.html,6,1174,0.0051107325383304,21.061328790459967,
https://www.smackcoders.com/blog/how-to-restore-wordpress-site-from-backup.html,1,1170,0.0008547008547008,34.023931623931624,
https://www.smackcoders.com/blog/create-and-import-custom-post-types-in-wordpress.html,3,1136,0.0026408450704225,15.59419014084507,
https://www.smackcoders.com/blog/how-to-install-ioncube-loaders-simple-steps-for-various-hosting-types.html,3,1086,0.0027624309392265,16.708103130755063,
https://www.smackcoders.com/blog/how-to-import-csv-file-in-wordpress-without-plugin.html,5,997,0.0050150451354062,14.844533600802407,
https://www.smackcoders.com/blog/export-import-single-wordpress-post-page-product.html,3,956,0.0031380753138075,17.064853556485357,
https://www.smackcoders.com/blog/how-to-import-page-to-wordpress.html,3,906,0.0033112582781456,14.41832229580574,
https://www.smackcoders.com/blog/optimize-wordpress-database-for-large-sites.html,0,892,0.0,18.52354260089686,
https://www.smackcoders.com/blog/best-woocommerce-affiliate-plugins.html,0,797,0.0,34.37892095357591,
https://www.smackcoders.com/blog/best-wordpress-speed-optimization-plugins.html,0,744,0.0,46.799731182795696,
https://www.smackcoders.com/documentation/wp-ultimate-csv-importer-pro/acf-import,2,743,0.0026917900403768,21.47779273216689,
https://www.smackcoders.com/documentation/wp-ultimate-csv-importer-pro/rankmath-data-import-and-export,1,731,0.0013679890560875,19.10670314637483,
https://www.smackcoders.com/blog/wordpress-seo-guide.html,0,719,0.0,68.76773296244784,
https://www.smackcoders.com/,72,669,0.1076233183856502,8.994020926756352,
https://www.smackcoders.com/blog/mastering-wpml-language-localization.html,1,666,0.0015015015015015,16.935435435435437,
https://www.smackcoders.com/blog/advanced-techniques-for-wordpress-import-and-export.html,0,612,0.0,30.815359477124183,
https://www.smackcoders.com/es/blog/como-instalar-wamp-y-xampp.html,1,597,0.0016750418760469,10.82747068676717,
https://www.smackcoders.com/blog/build-dynamic-wordpress-sites-with-custom-post-types.html,5,588,0.0085034013605442,18.197278911564627,
https://www.smackcoders.com/blog/ppom-for-woocommerce-import-export-custom-fields.html,0,574,0.0,9.045296167247386,
https://www.smackcoders.com/wp-all-import-alternative.html,5,545,0.0091743119266055,24.357798165137616,
https://www.smackcoders.com/ja/blog/add-external-urls-to-featured-images-wordpress.html,23,541,0.0425138632162661,6.10720887245841,
https://www.smackcoders.com/blog/scale-wordpress-for-high-traffic.html,0,509,0.0,35.11001964636542,
https://www.smackcoders.com/blog/how-to-export-wordpress-users.html,9,492,0.0182926829268292,22.392276422764223,
