Table: Date - Clicks & Impressions
2025-12-31,42,6060,0.006930693069306931,19.98976897689769
2026-01-01,48,5202,0.00922722029988466,24.523452518262207
2026-01-02,59,6173,0.00955775149846104,19.213672444516444
2026-01-03,38,4636,0.00819672131147541,22.724331320103538
2026-01-04,70,6397,0.010942629357511334,21.692043145224325
2026-01-05,85,7584,0.011207805907172996,20.871571729957807

Table: Query - Clicks
smackcoders,42,97,0.4329896907216495,1.0103092783505154
wp ultimate csv importer,8,57,0.14035087719298245,2.3157894736842106
smackcoders inc,6,12,0.5,1
wamp,4,171,0.023391812865497075,6.432748538011696
xampp and wamp installation in php,3,12,0.25,1.3333333333333333
it company in tirunelveli,2,7,0.2857142857142857,26.142857142857142
smack coders,2,2,1,1
ultimate csv importer pro,2,14,0.14285714285714285,30.357142857142858
wp all import alternative,2,33,0.06060606060606061,27.454545454545453
wp all import pro free download,2,7,0.2857142857142857,11.714285714285714
wp ultimate csv importer pro,2,22,0.09090909090909091,19.318181818181817
wpml,2,50,0.04,7.12
/wp-cron.php?doing_wp_cron,1,1,1,4
bbpress,1,5,0.2,11.4
csv wordpress,1,4,0.25,1
demo csv file,1,2,0.5,11.5
fifu plugin,1,4,0.25,6
it companies in tirunelveli,1,4,0.25,33.75
ppom,1,85,0.011764705882352941,7.317647058823529
site:smackcoders.com,1,4,0.25,1
smackcoders.com,1,2,0.5,1
software companies in tirunelveli,1,3,0.3333333333333333,25
the wordpress rest api must be enabled for wpml to work correctly.,1,3,0.3333333333333333,4.333333333333334
ultimate csv importer,1,11,0.09090909090909091,2.2727272727272725
wamp download for mac,1,2,0.5,10.5
wamp installation in php,1,3,0.3333333333333333,7
wamp macos,1,5,0.2,4.6
wampp install,1,2,0.5,5
wordpress csv,1,21,0.047619047619047616,1.4285714285714286
wordpress csv インポート,1,11,0.09090909090909091,5
wordpress import pages,1,10,0.1,3.4
wordpress インポート,1,5,0.2,3.2
wordpress.com ai,1,1,1,39
wp ultimate csv importer pro free download,1,2,0.5,2.5
wp ultimate csv importer pro pricing,1,1,1,1
wpml site key free,1,6,0.16666666666666666,8.666666666666668
"""acf-field-group"" taxonomy wordpress",0,6,0,4
"""ai personalization ecommerce",0,1,0,101
"""foxit""",0,1,0,10
"""pfssh.php playback pfblockerng cron""",0,1,0,7
"""rank_math_canonical_url"" meta key",0,8,0,3.375
"""rank_math_description"" meta key",0,6,0,7.333333333333333
"""rank_math_description"" post meta key",0,4,0,8.5
"""rank_math_focus_keyword""",0,1,0,10
"""wordpress""",0,2,0,69.5
.csv sample file download,0,1,0,7
/mnt/data/cash5_9num_wheel_126_tickets.csv,0,1,0,1
10web contact form anti-spam,0,1,0,60
15 wordpress plugins that will skyrocket your site speed,0,8,0,41.625
1password import csv format,0,1,0,3
413 error code,0,1,0,1
[unable_to_infer_schema] unable to infer schema for csv. it must be specified manually. sqlstate: 42kd9,0,1,0,2
abrir archivo csv,0,1,0,1
