page,total_clicks,total_impressions,avg_ctr,avg_position,lcp,inp,cls
https://www.smackcoders.com/,33.0,490.0,0.0673469387755102,8.66530612244898,8930.078262124196,,0.0
https://www.smackcoders.com/about-us.html,0.0,132.0,0.0,2.757575757575758,5085.026087511547,,0.0017111267233902
https://www.smackcoders.com/aio-wp-media-library-manager.html,0.0,23.0,0.0,21.82608695652174,10221.416561813552,,0.0
https://www.smackcoders.com/blog.html,1.0,42.0,0.0238095238095238,38.523809523809526,9273.4119808912,,0.0
https://www.smackcoders.com/blog/a-guide-to-wordpress-caching.html,0.0,260.0,0.0,30.85384615384616,9282.859341165127,,0.0
https://www.smackcoders.com/blog/add-external-urls-to-featured-images-wordpress.html,65.0,38330.0,0.00037058152793614,5.716706565615693,9556.971311020572,,0.0
https://www.smackcoders.com/blog/advanced-techniques-for-wordpress-import-and-export.html,0.0,524.0,0.0,30.68702290076336,9866.780778125598,,0.0160619494150044
https://www.smackcoders.com/blog/ai-generated-wordpress-content-import.html,2.0,199.0,0.0100502512562814,8.226130653266331,,,
https://www.smackcoders.com/blog/ai-in-wordpress.html,0.0,1032.0,0.0,12.609803921568627,9554.030371520965,,0.0
https://www.smackcoders.com/blog/ai-powered-personalization-for-ecommerce.html,0.0,18.0,0.0,29.38888888888889,9373.486159814202,,0.0
https://www.smackcoders.com/blog/ai-wordpress-security.html,0.0,7.0,0.0,20.142857142857142,9427.250638384296,,0.0
https://www.smackcoders.com/blog/avoid-common-woocommerce-store-mistakes.html,0.0,3.0,0.0,22.33333333333333,7913.265186718172,,0.0
https://www.smackcoders.com/blog/best-multipurpose-wordpress-themes.html,1.0,185.0,0.0054054054054054,28.427027027027027,9449.80413692387,,0.0
https://www.smackcoders.com/blog/best-practices-for-wordpress-sites.html,0.0,135.0,0.0,9.962962962962964,7714.255868411801,,0.0
https://www.smackcoders.com/blog/best-woocommerce-affiliate-plugins.html,0.0,3368.0,0.0,15.74669867947179,8856.214449877989,,0.0
https://www.smackcoders.com/blog/best-woocommerce-plugins.html,2.0,221.0,0.0090497737556561,37.963800904977376,9158.30732148353,,0.0
https://www.smackcoders.com/blog/best-wordpress-speed-optimization-plugins.html,0.0,3048.0,0.0,19.821475625823453,9203.596968518377,,0.0067575316734011
https://www.smackcoders.com/blog/build-dynamic-wordpress-sites-with-custom-post-types.html,0.0,572.0,0.0,15.811188811188812,10165.527217808954,,0.0
https://www.smackcoders.com/blog/create-a-form-in-wordpress-without-plugins.html,0.0,257.0,0.0,17.957198443579767,10203.248953499677,,0.0132864580730095
https://www.smackcoders.com/blog/create-a-multilingual-website-with-wpml.html,4.0,524.0,0.0021551724137931,11.591810344827586,9127.703558822364,,0.0117687381547683
https://www.smackcoders.com/blog/create-an-online-store-with-wordpress.html,0.0,92.0,0.0,46.33695652173913,9303.045966547035,,0.0
https://www.smackcoders.com/blog/create-and-import-custom-post-types-in-wordpress.html,12.0,2544.0,0.0009661835748792166,10.72044241037376,9694.009760712512,,0.0
https://www.smackcoders.com/blog/create-custom-fields-with-acf-in-wordpress.html,0.0,0.0,0.0,0.0,7183.019643910302,,0.0356595718416343
https://www.smackcoders.com/blog/create-custom-taxonomies-with-acf.html,3.0,1664.0,0.0018028846153846,10.576322115384617,9470.443836801698,,0.0
https://www.smackcoders.com/blog/ecommerce-video-marketing.html,0.0,2.0,0.0,21.0,9727.00173200296,,0.0
